latitude	longitude	population
-21.3301389	165.2570833	1.4481671
-21.3209722	165.1584722	1.4481671
-21.3243056	165.1318056	1.4481671
-21.3204167	165.1315278	1.4481671
-21.33375	165.1556944	1.4481671
-21.3223611	165.15875	1.4481671
-21.3201389	165.1318056	1.4481671
-21.32125	165.1443056	1.4481671
-21.3454167	165.1581944	1.4481671
-21.3245833	165.1265278	1.4481671
-21.3234722	165.1604167	1.4481671
-21.3215278	165.1498611	1.4481671
-21.3454167	165.1576389	1.4481671
-21.3226389	165.1454167	1.4481671
-21.3198611	165.1418056	1.4481671
-21.3448611	165.1584722	1.4481671
-21.34625	165.1576389	1.4481671
-21.32125	165.1440278	1.4481671
-21.3206944	165.1445833	1.4481671
-21.33625	165.2001389	1.4481671
-21.3195833	165.1468056	1.4481671
-21.3209722	165.1459722	1.4481671
-21.3223611	165.1329167	1.4481671
-21.3209722	165.1456944	1.4481671
-21.3204167	165.1318056	1.4481671
-21.3223611	165.13125	1.4481671
-21.34625	165.1593056	1.4481671
-21.3265278	165.1523611	1.4481671
-21.3204167	165.16125	1.4481671
-21.3201389	165.1418056	1.4481671
-21.3198611	165.1468056	1.4481671
-21.3215278	165.1593056	1.4481671
-21.3473611	165.1620833	1.4481671
-21.3201389	165.13125	1.4481671
-21.3240278	165.1268056	1.4481671
-21.3209722	165.1451389	1.4481671
-21.3454167	165.1620833	1.4481671
-21.3198611	165.1456944	1.4481671
-21.3451389	165.1573611	1.4481671
-21.3248611	164.9981944	1.4481671
-21.3226389	165.00125	1.4481671
-21.32625	165.0015278	1.4481671
-21.3251389	164.9856944	1.4481671
-21.3245833	164.9981944	1.4481671
-21.3093056	165.0004167	1.4481671
-21.3234722	165.00125	1.4481671
-21.3251389	164.9979167	1.4481671
-21.3254167	164.9854167	1.4481671
-21.3240278	165.0015278	1.4481671
-21.3259722	165.0006944	1.4481671
-21.3148611	164.9918056	1.4481671
-21.3251389	164.9973611	1.4481671
-21.3134722	164.9954167	1.4481671
-21.3254167	164.9976389	1.4481671
-21.3254167	165.0006944	1.4481671
-21.3256944	165.0006944	1.4481671
-21.3254167	164.9926389	1.4481671
-21.3093056	165.0015278	1.4481671
-21.32375	164.99375	1.4481671
-21.3251389	165.0009722	1.4481671
-21.3251389	164.99875	1.4481671
-21.3254167	165.0009722	1.4481671
-21.3240278	164.9940278	1.4481671
-21.3229167	165.00125	1.4481671
-21.3259722	164.9968056	1.4481671
-21.3106944	165.0006944	1.4481671
-21.3248611	164.9990278	1.4481671
-21.3254167	164.9856944	1.4481671
-21.32375	164.9945833	1.4481671
-21.3240278	164.99375	1.4481671
